o_coral_cover,o_region,o_region_sub,o_jurisdiction,o_habitat,o_ocean,o_lat,o_long,o_depth,o_human_pop50,o_land_area50,o_storm_30yr,o_l_att_mean,o_l_att_sd,o_npp_mean,o_npp_sd,o_sst_mean,o_sst_sd,o_wave_mean,o_wave_sd
0.961538462,EPRICO,EPRICO,PRICO,SCR,CARIB,18.1300298,-65.269798,14.1732,11.67571586,6.069291079,3,0.04402874,0.010612964,672.5893166,103.1081378,27.59892,1.084606841,4.395850078,1.567645558
11,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.1328463,-65.668996,12.0396,14.03690378,7.747971307,2,0.06536169,0.013463358,724.2614365,149.6165534,27.79792,1.221494986,1.018316488,0.231628756
0,EPRICO,EPRICO,PRICO,SCR,CARIB,18.1248383,-65.623837,13.1064,13.70163276,7.615244192,2,0.05412075,0.013047069,687.1647645,149.5426693,27.77055,1.123257762,1.41621624,0.361746606
0,EPRICO,EPRICO,PRICO,SCR,CARIB,18.1202026,-65.616847,12.8016,13.70163276,7.615244192,2,0.05412075,0.013047069,687.1647645,149.5426693,27.77055,1.123257762,1.41621624,0.361746606
5,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.1132741,-65.711845,12.954,14.1238471,7.822907277,2,0.05814571,0.0137182,724.2614365,149.6165534,27.81727,1.177540233,1.56031302,0.40450547
0,EPRICO,EPRICO,PRICO,SCR,CARIB,18.104424,-65.643578,25.908,13.70163276,7.615244192,2,0.04751776,0.010036135,687.1647645,149.5426693,27.78208,1.117804545,1.41621624,0.361746606
16.50485437,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.1001153,-65.681414,21.4884,13.94893157,7.725573825,2,0.05053864,0.010535416,724.2614365,149.6165534,27.78555,1.129023472,1.531484618,0.382371089
19.8019802,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.0928825,-65.707034,14.9352,14.1238471,7.822907277,2,0.05053864,0.010535416,724.2614365,149.6165534,27.78555,1.129023472,1.56031302,0.40450547
8.333333333,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.0880696,-65.742518,17.2212,14.27466366,7.911823899,2,0.05814571,0.0137182,724.2614365,149.6165534,27.81727,1.177540233,1.84692445,0.506728309
23.52941176,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.0848659,-65.713318,24.9936,14.00704538,7.785991586,2,0.05814571,0.0137182,724.2614365,149.6165534,27.81727,1.177540233,2.291824313,0.624732554
0,SWPRICO,SWPRICO,PRICO,SCR,CARIB,17.869401,-66.255679,23.1648,13.7069817,7.910356565,2,0.04207161,0.008179242,688.8198151,116.1379238,27.83945,1.075461296,3.03121452,0.855712728
11,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.0162314,-65.819322,10.668,14.13122381,7.922039377,2,0.04062906,0.013161497,765.7564094,189.2527437,27.79006,1.108638805,2.646101947,0.749828413
2.97029703,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.4796129,-66.209684,2.286,14.61355004,8.20781841,2,0.06121222,0.032666543,1042.243565,257.0369096,27.40431,1.089158391,7.541269795,4.502773042
57,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.0110243,-67.306155,19.812,13.09712557,7.465052044,0,0.0622564,0.010646267,649.0332138,99.9298517,28.01508,1.062716801,2.440976002,1.409860275
27,SWPRICO,SWPRICO,PRICO,SCR,CARIB,17.995528,-67.342657,15.0876,12.84045925,7.214088175,0,0.05490997,0.010381233,649.0332138,99.9298517,27.972,1.034498913,3.012486953,1.378086658
2,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9586766,-67.312791,17.526,12.87229303,7.25101863,0,0.06334948,0.010019431,663.0617345,99.64194278,28.0196,1.063706726,2.794957111,1.052074262
0,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9581302,-67.301939,18.1356,12.87229303,7.25101863,0,0.06148256,0.01166319,663.0617345,99.64194278,28.01346,1.052342625,2.794957111,1.052074262
5,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9528081,-67.313319,17.3736,12.87229303,7.25101863,0,0.06148256,0.01166319,663.0617345,99.64194278,28.01346,1.052342625,2.794957111,1.052074262
18.81188119,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9493126,-67.32704,16.1544,12.72668027,7.087919257,0,0.06148256,0.01166319,650.047555,100.755721,28.01346,1.052342625,3.322289941,1.186665164
